fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-03-22;Zamora;70;11;4;3;49275;41.75,-6.0
2020-03-23;Palencia;64;14;2;0;34120;42.432128,-4.520647
2020-03-23;Zamora;90;20;5;4;49275;41.75,-6.0
2020-03-24;Ávila;201;42;23;15;5019;40.616092,-4.929031
2020-03-24;Burgos;392;56;41;24;9059;42.383333,-3.666667
2020-03-24;Palencia;72;8;13;1;34120;42.432128,-4.520647
2020-03-24;Soria;179;39;14;13;42173;41.666667,-2.666667
2020-03-24;Zamora;100;10;11;7;49275;41.75,-6.0
2020-03-25;Ávila;226;25;36;21;5019;40.616092,-4.929031
2020-03-25;Soria;263;84;19;14;42173;41.666667,-2.666667
2020-03-25;Valladolid;501;91;36;21;47186;41.583333,-4.666667
2020-03-25;Zamora;103;3;16;8;49275;41.75,-6.0
2020-03-26;Ávila;270;44;53;27;5019;40.616092,-4.929031
2020-03-26;Soria;339;76;32;16;42173;41.666667,-2.666667
2020-03-26;Zamora;106;3;24;9;49275;41.75,-6.0
2020-03-27;Ávila;342;72;63;33;5019;40.616092,-4.929031
2020-03-27;Segovia;424;63;92;44;40004;41.166667,-4.0
2020-03-28;León;726;98;99;67;24089;42.666667,-6.0
2020-03-28;Segovia;503;79;111;51;40004;41.166667,-4.0
2020-03-28;Zamora;168;44;27;16;49275;41.75,-6.0
2020-03-29;Palencia;262;42;28;13;34120;42.432128,-4.520647
2020-03-29;Segovia;567;64;131;58;40004;41.166667,-4.0
2020-03-29;Soria;523;92;61;30;42173;41.666667,-2.666667
2020-03-30;León;918;97;139;89;24089;42.666667,-6.0
2020-03-30;Valladolid;929;43;145;66;47186;41.583333,-4.666667
2020-03-31;Palencia;325;32;42;18;34120;42.432128,-4.520647
2020-03-31;Salamanca;1185;107;209;123;37274;40.833333,-6.0
2020-03-15;Ávila;10;0;0;0;5019;40.616092,-4.929031
2020-03-15;Salamanca;31;19;1;3;37274;40.833333,-6.0
2020-03-15;Soria;5;1;0;0;42173;41.666667,-2.666667
2020-03-15;Valladolid;40;19;0;0;47186;41.583333,-4.666667
2020-03-16;Burgos;121;2;0;4;9059;42.383333,-3.666667
2020-03-16;León;47;0;1;1;24089;42.666667,-6.0
2020-03-16;Palencia;6;1;0;0;34120;42.432128,-4.520647
2020-03-16;Salamanca;32;1;3;4;37274;40.833333,-6.0
2020-03-16;Soria;10;5;1;0;42173;41.666667,-2.666667
2020-03-14;Burgos;113;23;0;2;9059;42.383333,-3.666667
2020-03-14;Palencia;3;2;0;0;34120;42.432128,-4.520647
2020-03-14;Segovia;22;7;0;1;40004;41.166667,-4.0
2020-03-14;Soria;4;3;0;0;42173;41.666667,-2.666667
2020-03-13;Segovia;15;6;0;1;40004;41.166667,-4.0
2020-03-13;Soria;1;1;0;0;42173;41.666667,-2.666667
2020-03-17;Burgos;126;5;9;5;9059;42.383333,-3.666667
2020-03-17;Segovia;33;0;0;5;40004;41.166667,-4.0
2020-03-17;Soria;17;7;2;2;42173;41.666667,-2.666667
2020-03-18;Burgos;165;39;11;5;9059;42.383333,-3.666667
2020-03-18;Salamanca;125;60;4;8;37274;40.833333,-6.0
2020-03-18;Zamora;26;10;0;1;49275;41.75,-6.0
2020-03-19;Palencia;14;8;1;0;34120;42.432128,-4.520647
2020-03-19;Salamanca;149;24;8;12;37274;40.833333,-6.0
2020-03-19;Soria;58;18;4;5;42173;41.666667,-2.666667
2020-03-20;Segovia;156;35;6;10;40004;41.166667,-4.0
2020-03-20;Soria;80;22;4;5;42173;41.666667,-2.666667
2020-03-20;Valladolid;201;86;3;5;47186;41.583333,-4.666667
2020-03-20;Zamora;46;15;2;1;49275;41.75,-6.0
2020-03-21;Valladolid;241;40;13;10;47186;41.583333,-4.666667
2020-03-21;Zamora;59;13;3;2;49275;41.75,-6.0
2020-03-22;Soria;135;16;8;8;42173;41.666667,-2.666667
2020-03-22;Valladolid;302;61;15;11;47186;41.583333,-4.666667
2020-03-23;Ávila;159;16;17;10;5019;40.616092,-4.929031
2020-03-23;León;290;57;16;20;24089;42.666667,-6.0
2020-03-23;Salamanca;404;89;22;24;37274;40.833333,-6.0
2020-03-24;León;362;72;21;24;24089;42.666667,-6.0
2020-03-24;Salamanca;483;79;42;38;37274;40.833333,-6.0
2020-03-24;Segovia;261;38;32;27;40004;41.166667,-4.0
2020-03-25;Burgos;485;93;55;28;9059;42.383333,-3.666667
2020-03-25;León;438;76;31;31;24089;42.666667,-6.0
2020-03-25;Salamanca;533;50;57;46;37274;40.833333,-6.0
2020-03-26;Burgos;530;45;67;32;9059;42.383333,-3.666667
2020-03-26;Palencia;139;48;14;5;34120;42.432128,-4.520647
2020-03-26;Salamanca;629;96;73;54;37274;40.833333,-6.0
2020-03-27;Burgos;604;74;95;39;9059;42.383333,-3.666667
2020-03-27;León;628;112;69;55;24089;42.666667,-6.0
2020-03-27;Salamanca;776;147;97;70;37274;40.833333,-6.0
2020-03-27;Soria;372;33;39;20;42173;41.666667,-2.666667
2020-03-27;Valladolid;692;94;83;39;47186;41.583333,-4.666667
2020-03-28;Burgos;673;69;117;42;9059;42.383333,-3.666667
2020-03-28;Palencia;220;50;26;11;34120;42.432128,-4.520647
2020-03-28;Valladolid;807;115;114;45;47186;41.583333,-4.666667
2020-03-29;Salamanca;1030;148;157;99;37274;40.833333,-6.0
2020-03-30;Ávila;446;32;91;46;5019;40.616092,-4.929031
2020-03-30;Palencia;293;31;33;18;34120;42.432128,-4.520647
2020-03-30;Salamanca;1078;48;181;110;37274;40.833333,-6.0
2020-03-30;Segovia;629;62;156;69;40004;41.166667,-4.0
2020-03-30;Soria;550;27;71;37;42173;41.666667,-2.666667
2020-03-31;León;964;46;176;100;24089;42.666667,-6.0
2020-03-31;Segovia;720;91;189;77;40004;41.166667,-4.0
2020-03-31;Soria;555;5;87;44;42173;41.666667,-2.666667
2020-03-31;Zamora;217;8;43;23;49275;41.75,-6.0
